x,y,Phytophthora_PA3_allRun logistic values
476734.9838,4437476.1748,0.0
476784.9838,4433076.1748,0.0
476784.9838,4433176.1748,0.0
476784.9838,4435876.1748,0.0
476784.9838,4437226.1748,0.0
476784.9838,4437926.1748,0.0
476784.9838,4438176.1748,0.0
476784.9838,4440476.1748,0.0
476784.9838,4440776.1748,0.0
476784.9838,4440976.1748,0.0
476784.9838,4441876.1748,0.0
476834.9838,4429676.1748,0.0
476834.9838,4430276.1748,0.0
476834.9838,4431226.1748,0.0
476834.9838,4431426.1748,0.0
476834.9838,4431576.1748,0.0
476834.9838,4431776.1748,0.0
476834.9838,4432876.1748,0.0
476834.9838,4433976.1748,0.0
476834.9838,4435426.1748,0.0
476834.9838,4437776.1748,0.0
476834.9838,4438676.1748,0.0
476834.9838,4440276.1748,0.0
476834.9838,4440676.1748,0.0
476834.9838,4440876.1748,0.0
476884.9838,4431276.1748,0.0
476884.9838,4432226.1748,0.0
476884.9838,4434326.1748,0.0
476884.9838,4434926.1748,0.0
476884.9838,4435576.1748,0.0
476884.9838,4441826.1748,0.0
476934.9838,4431126.1748,0.0
476934.9838,4432826.1748,0.0
476934.9838,4436326.1748,0.0
476934.9838,4436576.1748,0.0
476984.9838,4430526.1748,0.0
476984.9838,4430776.1748,0.0
476984.9838,4431476.1748,0.0
476984.9838,4433926.1748,0.0
476984.9838,4434326.1748,0.0
476984.9838,4437126.1748,0.0
476984.9838,4437926.1748,0.0
476984.9838,4441376.1748,0.0
477034.9838,4429926.1748,0.0
477034.9838,4430626.1748,0.0
477034.9838,4435126.1748,0.0
477084.9838,4429976.1748,0.0
477084.9838,4430476.1748,0.0
477084.9838,4432076.1748,0.0
477084.9838,4433976.1748,0.0
477084.9838,4438226.1748,0.0
477084.9838,4440676.1748,0.0
477134.9838,4433876.1748,0.0
477134.9838,4434826.1748,0.0
477134.9838,4435876.1748,0.0
477134.9838,4440176.1748,0.0
477184.9838,4429426.1748,0.0
477184.9838,4431126.1748,0.0
477184.9838,4432676.1748,0.0
477184.9838,4433276.1748,0.0
477184.9838,4435576.1748,0.0
477184.9838,4435626.1748,0.0
477184.9838,4437126.1748,0.0
477184.9838,4438476.1748,0.0
477234.9838,4432876.1748,0.0
477234.9838,4434226.1748,0.0
477234.9838,4437076.1748,0.0
477234.9838,4439076.1748,0.0
477234.9838,4440276.1748,0.0
477234.9838,4441526.1748,0.0
477284.9838,4430226.1748,0.0
477284.9838,4432876.1748,0.0
477284.9838,4433326.1748,0.0
477284.9838,4433976.1748,0.0
477284.9838,4434176.1748,0.0
477284.9838,4436626.1748,0.0
477284.9838,4436726.1748,0.0
477284.9838,4439776.1748,0.0
477284.9838,4440826.1748,0.0
477284.9838,4441526.1748,0.0
477334.9838,4434226.1748,0.0
477334.9838,4434676.1748,0.0
477334.9838,4436226.1748,0.0
477334.9838,4436726.1748,0.0
477334.9838,4439976.1748,0.0
477334.9838,4441876.1748,0.0
477384.9838,4433976.1748,0.0
477384.9838,4435026.1748,0.0
477384.9838,4438726.1748,0.0
477384.9838,4439576.1748,0.0
477434.9838,4429676.1748,0.0
477434.9838,4441276.1748,0.0
477484.9838,4429226.1748,0.0
477484.9838,4430726.1748,0.0
477484.9838,4434176.1748,0.0
477484.9838,4440026.1748,0.0
477484.9838,4440876.1748,0.0
477484.9838,4441176.1748,0.0
477534.9838,4429776.1748,0.0
477534.9838,4431426.1748,0.0
477534.9838,4432776.1748,0.0
477534.9838,4433126.1748,0.0
477534.9838,4433926.1748,0.0
477534.9838,4435176.1748,0.0
477534.9838,4437876.1748,0.0
477534.9838,4438126.1748,0.0
477534.9838,4440776.1748,0.0
477584.9838,4430176.1748,0.0
477584.9838,4430726.1748,0.0
477584.9838,4432576.1748,0.0
477584.9838,4435576.1748,0.0
477584.9838,4435826.1748,0.0
477584.9838,4441676.1748,0.0
477634.9838,4429576.1748,0.0
477634.9838,4431026.1748,0.0
477634.9838,4435726.1748,0.0
477634.9838,4436626.1748,0.0
477634.9838,4437176.1748,0.0
477634.9838,4440726.1748,0.0
477634.9838,4441676.1748,0.0
477634.9838,4441826.1748,0.0
477684.9838,4429976.1748,0.0
477684.9838,4430276.1748,0.0
477684.9838,4431576.1748,0.0
477684.9838,4436526.1748,0.0
477734.9838,4430576.1748,0.0
477734.9838,4433926.1748,0.0
477734.9838,4435076.1748,0.0
477734.9838,4435876.1748,0.0
477734.9838,4437626.1748,0.0
477734.9838,4441726.1748,0.0
477784.9838,4429326.1748,0.0
477784.9838,4430026.1748,0.0
477784.9838,4432876.1748,0.0
477784.9838,4432976.1748,0.0
477784.9838,4435376.1748,0.0
477784.9838,4436326.1748,0.0
477784.9838,4437126.1748,0.0
477784.9838,4437476.1748,0.0
477784.9838,4438626.1748,0.0
477784.9838,4438776.1748,0.0
477784.9838,4439176.1748,0.0
477784.9838,4439626.1748,0.0
477834.9838,4430026.1748,0.0
477834.9838,4433026.1748,0.0
477834.9838,4433426.1748,0.0
477834.9838,4436576.1748,0.0
477834.9838,4436676.1748,0.0
477834.9838,4440426.1748,0.0
477834.9838,4440726.1748,0.0
477884.9838,4429376.1748,0.0
477884.9838,4434176.1748,0.0
477884.9838,4434776.1748,0.0
477884.9838,4435176.1748,0.0
477884.9838,4436376.1748,0.0
477884.9838,4438826.1748,0.0
477884.9838,4439326.1748,0.0
477884.9838,4440426.1748,0.0
477934.9838,4429726.1748,0.0
477934.9838,4433026.1748,0.0
477934.9838,4434026.1748,0.0
477934.9838,4434076.1748,0.0
477934.9838,4435126.1748,0.0
477984.9838,4430826.1748,0.0
477984.9838,4435026.1748,0.0
477984.9838,4436326.1748,0.0
477984.9838,4437226.1748,0.0
477984.9838,4437276.1748,0.0
477984.9838,4437926.1748,0.0
477984.9838,4438276.1748,0.0
478034.9838,4431376.1748,0.0
478034.9838,4431876.1748,0.0
478034.9838,4433326.1748,0.0
478034.9838,4436226.1748,0.0
478084.9838,4432226.1748,0.0
478084.9838,4432926.1748,0.0
478084.9838,4436176.1748,0.0
478084.9838,4438676.1748,0.0
478084.9838,4438726.1748,0.0
478084.9838,4439426.1748,0.0
478084.9838,4439776.1748,0.0
478134.9838,4430426.1748,0.0
478134.9838,4431226.1748,0.0
478134.9838,4433776.1748,0.0
478134.9838,4435926.1748,0.0
478134.9838,4438126.1748,0.0
478134.9838,4439726.1748,0.0
478184.9838,4434776.1748,0.0
478184.9838,4435026.1748,0.0
478184.9838,4436226.1748,0.0
478184.9838,4441626.1748,0.0
478184.9838,4441726.1748,0.0
478234.9838,4431476.1748,0.0
478234.9838,4433276.1748,0.0
478234.9838,4433976.1748,0.0
478234.9838,4435776.1748,0.0
478234.9838,4436976.1748,0.0
478234.9838,4439826.1748,0.0
478234.9838,4440676.1748,0.0
478234.9838,4440976.1748,0.0
478234.9838,4441176.1748,0.0
478284.9838,4432426.1748,0.0
478284.9838,4434776.1748,0.0
478284.9838,4435076.1748,0.0
478284.9838,4435776.1748,0.0
478284.9838,4437626.1748,0.0
478284.9838,4438276.1748,0.0
478284.9838,4439176.1748,0.0
