background,x,y,green,BIO3,soc,sand,silt,roads,BIO06,rivers
background,478984.9838,4431476.1748,0.104489021003246,39.0831985473633,22.0591487884521,38.3208427429199,37.4088973999023,20.5636653900146,5.26650428771973,237.62939453125
background,479334.9838,4432726.1748,0.146166384220123,39.6313629150391,21.9403324127197,35.7575531005859,39.7951354980469,68.2137298583984,5.26365089416504,108.873954772949
background,479384.9838,4430826.1748,0.100800454616547,39.5062217712402,20.5048542022705,37.6464424133301,37.5654563903809,216.982727050781,5.24130630493164,544.152221679688
background,479434.9838,4433226.1748,0.120362386107445,38.8460121154785,22.6418647766113,38.474063873291,36.4721374511719,380.587127685547,5.28354692459106,183.017532348633
background,479484.9838,4430676.1748,0.105008788406849,39.6193923950195,20.096981048584,37.163272857666,37.8970375061035,116.312866210938,5.23445892333984,487.264556884766
background,479534.9838,4436276.1748,0.127335786819458,37.8626518249512,18.9716358184814,39.0479316711426,37.1832542419434,8.89582252502441,5.02290105819702,332.87353515625
background,479634.9838,4432426.1748,0.0992647930979729,39.1489601135254,24.2225475311279,36.1944885253906,39.6993789672852,208.965606689453,5.26643705368042,158.31803894043
background,480084.9838,4432176.1748,0.119154490530491,38.4749755859375,21.6073474884033,37.6649055480957,38.5293083190918,193.323776245117,5.24298477172852,493.907470703125
background,480134.9838,4432176.1748,0.123092666268349,38.4678382873535,21.461597442627,37.9296379089355,38.3010444641113,164.766998291016,5.24140548706055,535.934936523438
background,480134.9838,4434226.1748,0.128651514649391,38.2673683166504,21.2623252868652,38.5888252258301,35.2731628417969,56.2467308044434,5.20625829696655,163.467376708984
background,480284.9838,4430626.1748,0.107728973031044,39.7274169921875,18.0453414916992,37.1457366943359,37.864070892334,254.822021484375,5.21097183227539,287.457122802734
background,480484.9838,4434576.1748,0.0926437973976135,38.843334197998,23.4730243682861,37.7157897949219,36.4899787902832,113.484436035156,5.12701606750488,80.0578460693359
background,480534.9838,4435976.1748,0.121915355324745,38.0668525695801,21.3133945465088,37.3450546264648,36.5273666381836,64.8261184692383,5.00382995605469,199.492538452148
background,480834.9838,4436576.1748,0.119609005749226,38.3114280700684,23.1331825256348,38.5113067626953,35.184154510498,63.2984962463379,4.91566514968872,462.475708007812
background,481384.9838,4433676.1748,0.100649207830429,38.7180061340332,22.4008350372314,37.8816757202148,33.7907791137695,128.002197265625,5.24326467514038,108.975296020508
background,481434.9838,4432776.1748,0.101564928889275,38.5898017883301,22.8702793121338,36.4115104675293,34.7060813903809,29.8166217803955,5.23071002960205,122.634284973145
background,481834.9838,4435426.1748,0.100008457899094,38.9504165649414,20.8229942321777,36.3932991027832,36.6981544494629,181.03532409668,5.03508901596069,35.3963317871094
background,481884.9838,4433076.1748,0.102690413594246,38.4739265441895,21.7763023376465,36.3170280456543,34.7937469482422,50.9677772521973,5.22391748428345,318.651092529297
background,481934.9838,4430576.1748,0.105034992098808,39.1737365722656,23.2586250305176,39.8719673156738,34.9322776794434,125.383285522461,5.17319822311401,140.833053588867
background,481934.9838,4436526.1748,0.0998638123273849,38.6524085998535,22.5202369689941,36.5015907287598,36.2079963684082,173.68049621582,4.86186456680298,318.424591064453
background,481984.9838,4433076.1748,0.0980313643813133,38.528923034668,21.9772415161133,36.90234375,34.4884300231934,16.621452331543,5.22041940689087,396.404876708984
background,482034.9838,4432076.1748,0.0941246300935745,38.7506256103516,23.4411888122559,36.7402801513672,33.9924507141113,294.152099609375,5.20831394195557,136.338439941406
background,482034.9838,4432176.1748,0.104603216052055,38.7040863037109,23.357702255249,36.6592636108398,33.876049041748,224.794555664062,5.20937252044678,210.468322753906
background,482084.9838,4433676.1748,0.095155157148838,38.5619163513184,23.1244239807129,37.591983795166,34.0196952819824,244.774307250977,5.2252368927002,779.272338867188
background,482334.9838,4436876.1748,0.0957276374101639,38.7378768920898,23.3319702148438,35.274112701416,39.1034736633301,93.7063064575195,4.73043918609619,515.026672363281
background,482584.9838,4432676.1748,0.0971037596464157,38.7810668945312,23.3323822021484,37.3220329284668,34.5339088439941,144.827590942383,5.19621706008911,816.185607910156
background,482584.9838,4434676.1748,0.0975401625037193,38.733039855957,22.637845993042,38.6116180419922,34.4981994628906,226.732360839844,5.04984474182129,162.656204223633
background,482634.9838,4430376.1748,0.0998079404234886,38.4446182250977,21.1973781585693,39.4956169128418,34.2019386291504,161.805633544922,5.1554970741272,579.672607421875
background,482684.9838,4431026.1748,0.0942873731255531,38.242000579834,22.3206462860107,37.8778495788574,34.244384765625,316.267242431641,5.15770196914673,322.458068847656
background,482734.9838,4433876.1748,0.0947427824139595,38.3397636413574,23.0644111633301,38.5504951477051,34.7549743652344,100.883094787598,5.15738105773926,921.499084472656
background,482734.9838,4434076.1748,0.0935145616531372,38.3440017700195,23.1411647796631,38.9664688110352,34.5789985656738,34.7151679992676,5.14608907699585,769.349060058594
background,482784.9838,4433976.1748,0.0998603850603104,38.2793617248535,23.29563331604,38.6389541625977,34.606517791748,49.248405456543,5.144211769104,876.341125488281
background,482784.9838,4436876.1748,0.0909000039100647,38.8189353942871,22.8102569580078,35.5167922973633,39.1391563415527,109.924140930176,4.69372940063477,102.269500732422
background,483734.9838,4433176.1748,0.0967820286750793,38.1291160583496,21.9493675231934,38.4175720214844,35.5326385498047,503.551483154297,5.14900064468384,841.930908203125
